Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI,Pick Number,First Pick Points,Top Two Pick Points,Top Four Pick Points,Number of A Grades
Bryson Stott Fan Club,70.49,C-,EBC League,2.0,1771.38,1719.38,7-7-0,2023.0,14.0,3,262.72,509.38,1047.48,1.0
Daddy's Home,70.45,C-,Pennoni Younglings,11.0,1567.12,1714.0,5-9-0,2024.0,-4.0,2,240.9,521.7,870.9000000000001,1.0
Bli Erinker,70.41,C-,Pennoni Younglings,2.0,1606.66,1526.16,7-7-0,2023.0,24.0,3,357.8,571.5,835.5,2.0
South East  Anbu ,70.4,C-,EBC League,8.0,1499.5,1846.14,4-10-0,2021.0,-36.0,5,148.6,521.7,985.6,2.0
Fresh Prince  Of Hel-Aire,70.39,C-,Game of Yards!,10.0,1425.6,1477.92,7-7-0,2020.0,-61.0,10,214.8,372.8,777.0,1.0
sports,70.39,C-,THE BEST OF THE BEST,11.0,1381.36,1449.38,6-8-0,2024.0,-21.0,6,212.4,377.9,857.9,3.0
Sorry 🤷🏽‍♂️,70.38,C-,EBC League,7.0,1632.48,1739.38,6-8-0,2021.0,-18.0,2,234.7,463.79999999999995,795.0999999999999,0.0
Came and Wentz,70.38,C-,Pennoni Younglings,5.0,1453.54,1453.86,7-7-0,2022.0,-4.0,4,319.2,508.79999999999995,888.0,1.0
First down syndrome ,70.36,C-,EBC League,4.0,1594.3,1604.86,6-8-0,2024.0,-18.0,8,62.4,307.09999999999997,791.4,3.0
"Baby Chark, Juju Juju ",70.35,C-,0755 Fantasy Football,2.0,1362.68,1369.5,9-4-0,2023.0,-13.0,11,217.3,437.6,776.66,0.0
PHL Mike,70.28,C-,0755 Fantasy Football,8.0,1334.22,1557.38,6-8-0,2022.0,-5.0,10,362.52,545.72,997.52,2.0
Pennoni Adjacent,70.22,C-,Pennoni Younglings,9.0,1392.0,1490.24,5-9-0,2023.0,-40.0,11,232.66,570.36,920.4399999999999,1.0
Champagne  Papi ,70.12,C-,EBC League,2.0,1919.74,1750.16,8-6-0,2022.0,40.0,8,368.66,608.1600000000001,1124.66,3.0
