Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
10 - 9,99,Mike Williams,WR,Chicken Fried Chicken Meal,163.13,11.65,56.8,3.16,17,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},58.5,F
11 - 6,106,Jonathon Brooks,RB,3rd World Immigrant,139.98,14.0,7.5,2.5,3,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},57.94,F
7 - 8,68,Dak Prescott,QB,Dak Stinks,276.67,18.44,116.52,14.57,8,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},57.93,F
6 - 9,59,Zamir White,RB,Chicken Fried Chicken Meal,182.53,13.04,29.3,3.66,8,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},56.82,F
5 - 8,48,Rashee Rice,WR,Dak Stinks,209.27,14.95,64.9,16.23,4,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},56.11,F
2 - 4,14,Chris Olave,WR,Olave Another,245.77,16.38,76.7,9.59,8,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},55.33,F
4 - 7,37,Brandon Aiyuk,WR,Division iPad,222.47,14.83,62.4,8.91,7,{A279F58E-795F-4115-B9F5-8E795F7115FC},54.67,F
13 - 8,128,Deshaun Watson,QB,Dak Stinks,258.63,17.24,76.72,10.96,7,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},54.35,F
2 - 6,16,Isiah Pacheco,RB,It's Britney's Bench,232.55,16.61,56.9,8.13,7,{30B3E10C-D363-4E74-8961-7D4829DE152A},53.93,F
1 - 1,1,Christian McCaffrey,RB,Metcalves of Steele,335.49,25.81,47.8,11.95,4,{5E530C03-3F19-48F0-A309-52B769E76347},51.02,F
15 - 1,141,Greg Zuerlein,K,Metcalves of Steele,134.67,7.92,22.0,2.75,8,{5E530C03-3F19-48F0-A309-52B769E76347},50.61,F
