Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
7 - 2,86,J.J. McCarthy,QB,Chasing Flowers,282.57,16.62,117.4,13.04,9,72.01,C-,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
8 - 3,101,Jordan Mason,RB,Toon Squad,126.38,7.43,112.5,7.5,15,71.7,C-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
9 - 5,117,Rashid Shaheed,WR,Ertz When I Pee,149.63,8.8,126.4,7.44,17,70.45,C-,{F3D1384A-36F5-4EFA-B444-3241073A1940}
9 - 6,118,Jacory Croskey-Merritt,RB,Is it Hockey Season?,151.27,8.9,132.9,8.31,16,70.27,C-,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
10 - 3,129,Jordan Addison,WR,Toon Squad,137.95,9.85,112.8,8.68,13,70.21,C-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
3 - 3,31,Kyler Murray,QB,Dirty Tone and  The Boys,306.94,18.06,77.78,15.56,5,70.08,C-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
13 - 5,173,Dalton Kincaid,TE,Ertz When I Pee,118.83,6.99,100.3,9.12,11,70.08,C-,{F3D1384A-36F5-4EFA-B444-3241073A1940}
2 - 2,16,Brian Thomas Jr.,WR,Crazy Kat,222.38,13.08,108.4,8.34,13,69.94,D+,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
7 - 10,94,Tyrone Tracy Jr.,RB,Wu-Tangs Killabeez,187.15,11.01,118.9,8.49,14,69.35,D+,{8BED9748-9839-4F55-AD97-4898394F5553}
13 - 6,174,Lions D/ST,D/ST,Is it Hockey Season?,141.11,8.3,115.0,7.19,16,69.13,D+,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
4 - 14,56,Marvin Harrison Jr.,WR,Crunchwrap Crew,198.75,11.69,107.3,8.94,12,69.09,D+,{07C11068-0E2F-433A-AA64-CF7A44FB08B7}
13 - 12,180,Brandon McManus,K,Toon Squad,136.74,8.04,104.0,8.0,13,68.57,D+,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
12 - 4,158,Josh Downs,WR,the   jadey bunch,141.75,8.34,99.8,6.65,15,68.38,D+,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
3 - 5,33,Terry McLaurin,WR,Ertz When I Pee,204.74,12.04,87.5,9.72,9,68.01,D+,{F3D1384A-36F5-4EFA-B444-3241073A1940}
11 - 9,149,Rachaad White,RB,The Upside Down,111.96,6.59,117.9,7.37,16,67.9,D+,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
6 - 6,76,Sam LaPorta,TE,The Upside Down,154.47,9.09,86.9,9.66,9,67.8,D+,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
3 - 14,42,Chuba Hubbard,RB,Michael's Monstrous Team,234.16,13.77,107.7,7.69,14,67.39,D+,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
